ExpNum|Class|Method|Contract number|Contract kind|Closed?-StopAtDefault|Nodes-StopAtDefault|Closed?-StopAtUnclosable|Nodes-StopAtUnclosable
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||207||207
07|java.lang.Math|abs(int)|0|N||218||218
08|java.lang.Math|abs(int)|0|N|x|191|x|191
09|java.lang.Math|abs(int)|0|N|x|191|x|191
10|java.lang.Math|abs(int)|0|N|x|346|x|346
11|java.lang.Math|abs(int)|0|N||216||216
12|java.lang.Math|abs(int)|0|N|x|191|x|191
13|java.lang.Math|abs(int)|0|N||216||216
14|java.lang.Math|abs(int)|0|N|x|346|x|346
15|java.lang.Math|abs(int)|0|N|x|346|x|346
16|java.lang.Math|abs(int)|0|N|x|348|x|348
17|java.lang.Math|abs(int)|0|N|x|450|x|450
18|java.lang.Math|abs(int)|0|N|x|346|x|346
19|java.lang.Math|abs(int)|0|N||216||216
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N||94||94
07|java.lang.Math|max(int,int)|0|N|x|139|x|139
08|java.lang.Math|max(int,int)|0|N|x|55|x|55
09|java.lang.Math|max(int,int)|0|N|x|84|x|84
10|java.lang.Math|max(int,int)|0|N|x|114|x|114
11|java.lang.Math|max(int,int)|0|N|x|104|x|104
12|java.lang.Math|max(int,int)|0|N|x|55|x|55
13|java.lang.Math|max(int,int)|0|N|x|104|x|104
14|java.lang.Math|max(int,int)|0|N|x|114|x|114
15|java.lang.Math|max(int,int)|0|N|x|114|x|114
16|java.lang.Math|max(int,int)|0|N|x|144|x|144
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
19|java.lang.Math|max(int,int)|0|N|x|104|x|104
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|117|x|117
08|java.lang.Math|min(int,int)|0|N|x|77|x|77
09|java.lang.Math|min(int,int)|0|N|x|77|x|77
10|java.lang.Math|min(int,int)|0|N|x|136|x|136
11|java.lang.Math|min(int,int)|0|N|x|137|x|137
12|java.lang.Math|min(int,int)|0|N|x|93|x|93
13|java.lang.Math|min(int,int)|0|N|x|137|x|137
14|java.lang.Math|min(int,int)|0|N|x|136|x|136
15|java.lang.Math|min(int,int)|0|N|x|136|x|136
16|java.lang.Math|min(int,int)|0|N|x|127|x|127
17|java.lang.Math|min(int,int)|0|N|x|127|x|127
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
19|java.lang.Math|min(int,int)|0|N|x|137|x|137
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||501||487
04|java.util.ArrayList|ArrayList()|0|N||233||227
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
08|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
09|java.util.ArrayList|ArrayList()|0|N||233||227
10|java.util.ArrayList|ArrayList()|0|N||501||487
11|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
12|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
13|java.util.ArrayList|ArrayList()|0|N||491||477
14|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
15|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
16|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
17|java.util.ArrayList|ArrayList()|0|N||500||472
18|java.util.ArrayList|ArrayList()|0|N||501||487
19|java.util.ArrayList|ArrayList()|0|N||491||477
01|java.util.ArrayList|ArrayList(int)|0|E||709||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3695
02|java.util.ArrayList|ArrayList(int)|0|N||760||746
03|java.util.ArrayList|ArrayList(int)|0|E||720||713
03|java.util.ArrayList|ArrayList(int)|0|N||1200||564
06|java.util.ArrayList|ArrayList(int)|0|E||768||761
06|java.util.ArrayList|ArrayList(int)|0|N||716||702
07|java.util.ArrayList|ArrayList(int)|0|E||768||761
07|java.util.ArrayList|ArrayList(int)|0|N|x|1491|x|1491
09|java.util.ArrayList|ArrayList(int)|0|E||353||350
09|java.util.ArrayList|ArrayList(int)|0|N||958||255
11|java.util.ArrayList|ArrayList(int)|0|E||798||791
11|java.util.ArrayList|ArrayList(int)|0|N||727||713
12|java.util.ArrayList|ArrayList(int)|0|E||611||608
12|java.util.ArrayList|ArrayList(int)|0|N|x|901|x|901
13|java.util.ArrayList|ArrayList(int)|0|E||711||704
13|java.util.ArrayList|ArrayList(int)|0|N||1238||531
14|java.util.ArrayList|ArrayList(int)|0|E||776||769
14|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
16|java.util.ArrayList|ArrayList(int)|0|E||4712||3686
16|java.util.ArrayList|ArrayList(int)|0|N|x|1342|x|1342
18|java.util.ArrayList|ArrayList(int)|0|E||720||713
18|java.util.ArrayList|ArrayList(int)|0|N||1200||564
19|java.util.ArrayList|ArrayList(int)|0|E||711||704
19|java.util.ArrayList|ArrayList(int)|0|N||1243||531
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
