ExpNum|Class|Method|Contract number|Contract kind|Closed?-OneStepSimplificationEnabled|Nodes-OneStepSimplificationEnabled|Closed?-OneStepSimplificationDisabled|Nodes-OneStepSimplificationDisabled
01|java.lang.Math|abs(int)|0|N||77||216
02|java.lang.Math|abs(int)|0|N|x|191|x|346
03|java.lang.Math|abs(int)|0|N|x|191|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|346
05|java.lang.Math|abs(int)|0|N|x|191|x|346
06|java.lang.Math|abs(int)|0|N||77||218
07|java.lang.Math|abs(int)|0|N|x|191|x|348
08|java.lang.Math|abs(int)|0|N|x|191|x|346
09|java.lang.Math|abs(int)|0|N|x|191|x|450
10|java.lang.Math|abs(int)|0|N||77||216
11|java.lang.Math|abs(int)|0|N||77||216
12|java.lang.Math|abs(int)|0|N|x|191|x|348
13|java.lang.Math|abs(int)|0|N||77||216
14|java.lang.Math|abs(int)|0|N|x|191|x|346
15|java.lang.Math|abs(int)|0|N|x|191|x|346
16|java.lang.Math|abs(int)|0|N|x|191|x|348
17|java.lang.Math|abs(int)|0|N||77||216
18|java.lang.Math|abs(int)|0|N|x|191|x|346
19|java.lang.Math|abs(int)|0|N|x|191|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|104
02|java.lang.Math|max(int,int)|0|N|x|55|x|114
03|java.lang.Math|max(int,int)|0|N|x|55|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|114
05|java.lang.Math|max(int,int)|0|N|x|55|x|114
06|java.lang.Math|max(int,int)|0|N|x|79|x|139
07|java.lang.Math|max(int,int)|0|N|x|84|x|144
08|java.lang.Math|max(int,int)|0|N|x|55|x|114
10|java.lang.Math|max(int,int)|0|N|x|45|x|104
11|java.lang.Math|max(int,int)|0|N|x|45|x|104
12|java.lang.Math|max(int,int)|0|N|x|84|x|144
13|java.lang.Math|max(int,int)|0|N|x|45|x|104
14|java.lang.Math|max(int,int)|0|N|x|55|x|114
15|java.lang.Math|max(int,int)|0|N|x|55|x|114
16|java.lang.Math|max(int,int)|0|N|x|84|x|144
17|java.lang.Math|max(int,int)|0|N|x|45|x|104
18|java.lang.Math|max(int,int)|0|N|x|55|x|114
19|java.lang.Math|max(int,int)|0|N|x|55|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|137
02|java.lang.Math|min(int,int)|0|N|x|93|x|136
03|java.lang.Math|min(int,int)|0|N|x|93|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|136
05|java.lang.Math|min(int,int)|0|N|x|77|x|136
06|java.lang.Math|min(int,int)|0|N|x|78|x|117
07|java.lang.Math|min(int,int)|0|N|x|77|x|127
08|java.lang.Math|min(int,int)|0|N|x|77|x|136
09|java.lang.Math|min(int,int)|0|N|x|77|x|127
10|java.lang.Math|min(int,int)|0|N|x|78|x|137
11|java.lang.Math|min(int,int)|0|N|x|78|x|137
12|java.lang.Math|min(int,int)|0|N|x|77|x|127
13|java.lang.Math|min(int,int)|0|N|x|78|x|137
14|java.lang.Math|min(int,int)|0|N|x|77|x|136
15|java.lang.Math|min(int,int)|0|N|x|93|x|136
16|java.lang.Math|min(int,int)|0|N|x|77|x|127
17|java.lang.Math|min(int,int)|0|N|x|78|x|137
18|java.lang.Math|min(int,int)|0|N|x|93|x|136
19|java.lang.Math|min(int,int)|0|N|x|77|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|568
02|java.util.ArrayList|ArrayList()|0|N|x|280|x|578
03|java.util.ArrayList|ArrayList()|0|N||233||501
04|java.util.ArrayList|ArrayList()|0|N||233||501
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|578
06|java.util.ArrayList|ArrayList()|0|N|x|270|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|280|x|580
08|java.util.ArrayList|ArrayList()|0|N|x|280|x|578
09|java.util.ArrayList|ArrayList()|0|N|x|280|x|580
10|java.util.ArrayList|ArrayList()|0|N||223||491
11|java.util.ArrayList|ArrayList()|0|N||217||477
12|java.util.ArrayList|ArrayList()|0|N|x|280|x|580
13|java.util.ArrayList|ArrayList()|0|N||223||491
14|java.util.ArrayList|ArrayList()|0|N|x|280|x|578
15|java.util.ArrayList|ArrayList()|0|N|x|280|x|578
16|java.util.ArrayList|ArrayList()|0|N||233||508
17|java.util.ArrayList|ArrayList()|0|N||223||491
18|java.util.ArrayList|ArrayList()|0|N||233||501
19|java.util.ArrayList|ArrayList()|0|N||233||501
01|java.util.ArrayList|ArrayList(int)|0|E||706||1124
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|1297
02|java.util.ArrayList|ArrayList(int)|0|E||3238||3702
02|java.util.ArrayList|ArrayList(int)|0|N||397||760
03|java.util.ArrayList|ArrayList(int)|0|E||354||720
03|java.util.ArrayList|ArrayList(int)|0|N||840||1200
06|java.util.ArrayList|ArrayList(int)|0|E||378||761
06|java.util.ArrayList|ArrayList(int)|0|N|x|973|x|1491
10|java.util.ArrayList|ArrayList(int)|0|E||3193||3617
10|java.util.ArrayList|ArrayList(int)|0|N||873||1238
11|java.util.ArrayList|ArrayList(int)|0|E||341||704
11|java.util.ArrayList|ArrayList(int)|0|N||232||527
12|java.util.ArrayList|ArrayList(int)|0|E||3282||3701
12|java.util.ArrayList|ArrayList(int)|0|N|x|1006|x|1342
13|java.util.ArrayList|ArrayList(int)|0|E||344||711
13|java.util.ArrayList|ArrayList(int)|0|N||873||1238
15|java.util.ArrayList|ArrayList(int)|0|E||405||776
15|java.util.ArrayList|ArrayList(int)|0|N|x|901|x|1324
16|java.util.ArrayList|ArrayList(int)|0|E||353||727
16|java.util.ArrayList|ArrayList(int)|0|N||958||1049
17|java.util.ArrayList|ArrayList(int)|0|E||344||711
17|java.util.ArrayList|ArrayList(int)|0|N||238||541
18|java.util.ArrayList|ArrayList(int)|0|E||354||720
18|java.util.ArrayList|ArrayList(int)|0|N||840||1200
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|944
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1886
01|java.util.ArrayList|add(java.lang.Object)|1|N|x|8240|x|16067
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|1793
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L||615||1265
02|java.util.ArrayList|add(java.lang.Object)|0|N||631||1264
02|java.util.ArrayList|add(java.lang.Object)|1|N||672||1319
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|23|x|24
03|java.util.ArrayList|add(java.lang.Object)|0|E||929||1573
03|java.util.ArrayList|add(java.lang.Object)|0|L||4276||5802
04|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|34
04|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
05|java.util.ArrayList|add(java.lang.Object)|0|E|x|409|x|1140
05|java.util.ArrayList|add(java.lang.Object)|0|L|x|1790|x|3108
05|java.util.ArrayList|add(java.lang.Object)|1|N|x|1999|x|4830
05|java.util.ArrayList|add(java.lang.Object)|2|N|x|503|x|2453
06|java.util.ArrayList|add(java.lang.Object)|0|L||20618||20841
06|java.util.ArrayList|add(java.lang.Object)|0|N||20708||20949
07|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|31
07|java.util.ArrayList|add(java.lang.Object)|0|L|x|1917|x|2832
07|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|34
08|java.util.ArrayList|add(java.lang.Object)|0|L|x|1262|x|2044
08|java.util.ArrayList|add(java.lang.Object)|1|N|x|1325|x|2037
08|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|29
09|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|944
09|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1859
