ExpNum|Class|Method|Contract number|Contract kind|Closed?-ProofSplittingDelayed|Nodes-ProofSplittingDelayed|Closed?-ProofSplittingFree|Nodes-ProofSplittingFree
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||218||218
07|java.lang.Math|abs(int)|0|N|x|191|x|191
08|java.lang.Math|abs(int)|0|N|x|346|x|346
09|java.lang.Math|abs(int)|0|N||77||77
10|java.lang.Math|abs(int)|0|N|x|191|x|191
11|java.lang.Math|abs(int)|0|N|x|346|x|346
12|java.lang.Math|abs(int)|0|N||216||216
13|java.lang.Math|abs(int)|0|N|x|191|x|191
14|java.lang.Math|abs(int)|0|N|x|346|x|346
15|java.lang.Math|abs(int)|0|N|x|348|x|348
16|java.lang.Math|abs(int)|0|N||216||216
17|java.lang.Math|abs(int)|0|N||216||216
18|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N|x|139|x|139
07|java.lang.Math|max(int,int)|0|N|x|84|x|84
08|java.lang.Math|max(int,int)|0|N|x|114|x|114
09|java.lang.Math|max(int,int)|0|N|x|79|x|79
10|java.lang.Math|max(int,int)|0|N|x|55|x|55
11|java.lang.Math|max(int,int)|0|N|x|114|x|114
12|java.lang.Math|max(int,int)|0|N|x|104|x|104
13|java.lang.Math|max(int,int)|0|N|x|55|x|55
14|java.lang.Math|max(int,int)|0|N|x|114|x|114
15|java.lang.Math|max(int,int)|0|N|x|144|x|144
16|java.lang.Math|max(int,int)|0|N|x|104|x|104
17|java.lang.Math|max(int,int)|0|N|x|104|x|104
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|77|x|77
08|java.lang.Math|min(int,int)|0|N|x|136|x|136
09|java.lang.Math|min(int,int)|0|N|x|78|x|78
10|java.lang.Math|min(int,int)|0|N|x|93|x|93
11|java.lang.Math|min(int,int)|0|N|x|136|x|136
12|java.lang.Math|min(int,int)|0|N|x|137|x|137
13|java.lang.Math|min(int,int)|0|N|x|77|x|77
14|java.lang.Math|min(int,int)|0|N|x|136|x|136
15|java.lang.Math|min(int,int)|0|N|x|127|x|127
16|java.lang.Math|min(int,int)|0|N|x|137|x|137
17|java.lang.Math|min(int,int)|0|N|x|137|x|137
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||501||501
04|java.util.ArrayList|ArrayList()|0|N||233||233
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
08|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
09|java.util.ArrayList|ArrayList()|0|N||217||217
10|java.util.ArrayList|ArrayList()|0|N||227||227
11|java.util.ArrayList|ArrayList()|0|N||501||501
12|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
13|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
14|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
15|java.util.ArrayList|ArrayList()|0|N||508||508
16|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
17|java.util.ArrayList|ArrayList()|0|N||491||491
18|java.util.ArrayList|ArrayList()|0|N||501||501
01|java.util.ArrayList|ArrayList(int)|0|E||706||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3702
02|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
03|java.util.ArrayList|ArrayList(int)|0|E||720||720
03|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
06|java.util.ArrayList|ArrayList(int)|0|E||768||768
06|java.util.ArrayList|ArrayList(int)|0|N|x|1491|x|1423
09|java.util.ArrayList|ArrayList(int)|0|E||3200||3201
09|java.util.ArrayList|ArrayList(int)|0|N||236||236
10|java.util.ArrayList|ArrayList(int)|0|E||351||351
10|java.util.ArrayList|ArrayList(int)|0|N||255||255
11|java.util.ArrayList|ArrayList(int)|0|E||720||720
11|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
12|java.util.ArrayList|ArrayList(int)|0|E||798||798
12|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
14|java.util.ArrayList|ArrayList(int)|0|E||776||776
14|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
15|java.util.ArrayList|ArrayList(int)|0|E||727||727
15|java.util.ArrayList|ArrayList(int)|0|N||1049||1049
16|java.util.ArrayList|ArrayList(int)|0|E||798||798
16|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
17|java.util.ArrayList|ArrayList(int)|0|E||711||711
17|java.util.ArrayList|ArrayList(int)|0|N||1238||1243
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1777
01|java.util.ArrayList|add(java.lang.Object)|0|N|x|21974|x|23945
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|4681
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L|x|2252|x|2909
