ExpNum|Class|Method|Contract number|Contract kind|Closed?-LoopTreatmentInvariant|Nodes-LoopTreatmentInvariant|Closed?-LoopTreatmentLoopScopeInvariant|Nodes-LoopTreatmentLoopScopeInvariant
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||207||207
07|java.lang.Math|abs(int)|0|N|x|191|x|191
08|java.lang.Math|abs(int)|0|N|x|191|x|191
09|java.lang.Math|abs(int)|0|N|x|346|x|346
10|java.lang.Math|abs(int)|0|N||216||216
11|java.lang.Math|abs(int)|0|N|x|346|x|346
12|java.lang.Math|abs(int)|0|N|x|348|x|348
13|java.lang.Math|abs(int)|0|N||77||77
14|java.lang.Math|abs(int)|0|N|x|346|x|346
15|java.lang.Math|abs(int)|0|N|x|348|x|348
16|java.lang.Math|abs(int)|0|N|x|346|x|346
17|java.lang.Math|abs(int)|0|N|x|346|x|346
18|java.lang.Math|abs(int)|0|N|x|346|x|346
19|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N||94||94
07|java.lang.Math|max(int,int)|0|N|x|84|x|84
08|java.lang.Math|max(int,int)|0|N|x|55|x|55
09|java.lang.Math|max(int,int)|0|N|x|114|x|114
10|java.lang.Math|max(int,int)|0|N|x|104|x|104
11|java.lang.Math|max(int,int)|0|N|x|114|x|114
12|java.lang.Math|max(int,int)|0|N|x|144|x|144
13|java.lang.Math|max(int,int)|0|N|x|45|x|45
14|java.lang.Math|max(int,int)|0|N|x|114|x|114
15|java.lang.Math|max(int,int)|0|N|x|144|x|144
16|java.lang.Math|max(int,int)|0|N|x|114|x|114
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
19|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|77|x|77
08|java.lang.Math|min(int,int)|0|N|x|93|x|93
09|java.lang.Math|min(int,int)|0|N|x|136|x|136
10|java.lang.Math|min(int,int)|0|N|x|137|x|137
11|java.lang.Math|min(int,int)|0|N|x|136|x|136
12|java.lang.Math|min(int,int)|0|N|x|127|x|127
13|java.lang.Math|min(int,int)|0|N|x|78|x|78
14|java.lang.Math|min(int,int)|0|N|x|136|x|136
15|java.lang.Math|min(int,int)|0|N|x|127|x|127
16|java.lang.Math|min(int,int)|0|N|x|136|x|136
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
19|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||501||501
04|java.util.ArrayList|ArrayList()|0|N||233||233
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
08|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
09|java.util.ArrayList|ArrayList()|0|N||501||501
10|java.util.ArrayList|ArrayList()|0|N||477||477
11|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
12|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
13|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
14|java.util.ArrayList|ArrayList()|0|N||501||501
15|java.util.ArrayList|ArrayList()|0|N||508||508
16|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
17|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
18|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
19|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
01|java.util.ArrayList|ArrayList(int)|0|E||706||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3702
02|java.util.ArrayList|ArrayList(int)|0|N||760||760
03|java.util.ArrayList|ArrayList(int)|0|E||720||720
03|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
06|java.util.ArrayList|ArrayList(int)|0|E||768||768
06|java.util.ArrayList|ArrayList(int)|0|N||716||716
08|java.util.ArrayList|ArrayList(int)|0|E||402||402
08|java.util.ArrayList|ArrayList(int)|0|N||391||391
10|java.util.ArrayList|ArrayList(int)|0|E||3610||3610
10|java.util.ArrayList|ArrayList(int)|0|N||531||531
12|java.util.ArrayList|ArrayList(int)|0|E||1109||1109
12|java.util.ArrayList|ArrayList(int)|0|N|x|1342|x|1342
13|java.util.ArrayList|ArrayList(int)|0|E||3239||3239
13|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
14|java.util.ArrayList|ArrayList(int)|0|E||720||720
14|java.util.ArrayList|ArrayList(int)|0|N||574||574
19|java.util.ArrayList|ArrayList(int)|0|E||776||776
19|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
01|java.util.ArrayList|add(java.lang.Object)|0|N|x|21974|x|21974
01|java.util.ArrayList|add(java.lang.Object)|1|N|x|8240|x|8240
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|748
