ExpNum|Class|Method|Contract number|Contract kind|Closed?-QueryTreatmentRestricted|Nodes-QueryTreatmentRestricted|Closed?-QueryTreatmentOn|Nodes-QueryTreatmentOn
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N|x|348|x|348
07|java.lang.Math|abs(int)|0|N||207||207
08|java.lang.Math|abs(int)|0|N|x|191|x|191
09|java.lang.Math|abs(int)|0|N||216||216
10|java.lang.Math|abs(int)|0|N|x|346|x|346
11|java.lang.Math|abs(int)|0|N||77||77
12|java.lang.Math|abs(int)|0|N|x|191|x|191
13|java.lang.Math|abs(int)|0|N||216||216
14|java.lang.Math|abs(int)|0|N|x|191|x|191
15|java.lang.Math|abs(int)|0|N|x|348|x|348
16|java.lang.Math|abs(int)|0|N||216||216
17|java.lang.Math|abs(int)|0|N|x|346|x|346
18|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N|x|144|x|144
07|java.lang.Math|max(int,int)|0|N||94||94
08|java.lang.Math|max(int,int)|0|N|x|55|x|55
09|java.lang.Math|max(int,int)|0|N|x|104|x|104
10|java.lang.Math|max(int,int)|0|N|x|114|x|114
11|java.lang.Math|max(int,int)|0|N|x|45|x|45
12|java.lang.Math|max(int,int)|0|N|x|84|x|84
13|java.lang.Math|max(int,int)|0|N|x|104|x|104
14|java.lang.Math|max(int,int)|0|N|x|55|x|55
15|java.lang.Math|max(int,int)|0|N|x|144|x|144
16|java.lang.Math|max(int,int)|0|N|x|104|x|104
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|127|x|127
07|java.lang.Math|min(int,int)|0|N|x|117|x|117
08|java.lang.Math|min(int,int)|0|N|x|77|x|77
09|java.lang.Math|min(int,int)|0|N|x|137|x|137
10|java.lang.Math|min(int,int)|0|N|x|136|x|136
11|java.lang.Math|min(int,int)|0|N|x|78|x|78
12|java.lang.Math|min(int,int)|0|N|x|77|x|77
13|java.lang.Math|min(int,int)|0|N|x|137|x|137
14|java.lang.Math|min(int,int)|0|N|x|93|x|93
15|java.lang.Math|min(int,int)|0|N|x|127|x|127
16|java.lang.Math|min(int,int)|0|N|x|137|x|137
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||501||501
04|java.util.ArrayList|ArrayList()|0|N||233||233
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
07|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
08|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
09|java.util.ArrayList|ArrayList()|0|N||491||491
10|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
11|java.util.ArrayList|ArrayList()|0|N||217||217
12|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
13|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
14|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
15|java.util.ArrayList|ArrayList()|0|N||508||508
16|java.util.ArrayList|ArrayList()|0|N||491||491
17|java.util.ArrayList|ArrayList()|0|N||501||501
18|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
01|java.util.ArrayList|ArrayList(int)|0|E||706||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3702
02|java.util.ArrayList|ArrayList(int)|0|N||760||760
03|java.util.ArrayList|ArrayList(int)|0|E||720||720
03|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
06|java.util.ArrayList|ArrayList(int)|0|E||771||771
06|java.util.ArrayList|ArrayList(int)|0|N|x|1342|x|1342
07|java.util.ArrayList|ArrayList(int)|0|E||3657||3657
07|java.util.ArrayList|ArrayList(int)|0|N||702||702
09|java.util.ArrayList|ArrayList(int)|0|E||3617||3617
09|java.util.ArrayList|ArrayList(int)|0|N||541||541
11|java.util.ArrayList|ArrayList(int)|0|E||341||341
11|java.util.ArrayList|ArrayList(int)|0|N||236||236
13|java.util.ArrayList|ArrayList(int)|0|E||791||791
13|java.util.ArrayList|ArrayList(int)|0|N|x|1299|x|1299
14|java.util.ArrayList|ArrayList(int)|0|E||405||405
14|java.util.ArrayList|ArrayList(int)|0|N||397||397
16|java.util.ArrayList|ArrayList(int)|0|E||711||711
16|java.util.ArrayList|ArrayList(int)|0|N||1238||1238
17|java.util.ArrayList|ArrayList(int)|0|E||720||720
17|java.util.ArrayList|ArrayList(int)|0|N||1254||1200
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|648
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1265
02|java.util.ArrayList|add(java.lang.Object)|0|N||2927||2930
02|java.util.ArrayList|add(java.lang.Object)|1|N||1305||1305
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|29
