ExpNum|Class|Method|Contract number|Contract kind|Closed?-ArithmeticTreatmentBasic|Nodes-ArithmeticTreatmentBasic|Closed?-ArithmeticTreatmentDefOps|Nodes-ArithmeticTreatmentDefOps
01|java.lang.Math|abs(int)|0|N||77|x|191
02|java.lang.Math|abs(int)|0|N||216|x|346
03|java.lang.Math|abs(int)|0|N||216|x|346
04|java.lang.Math|abs(int)|0|N||77|x|191
05|java.lang.Math|abs(int)|0|N||216|x|346
06|java.lang.Math|abs(int)|0|N||77|x|191
07|java.lang.Math|abs(int)|0|N||207||395
08|java.lang.Math|abs(int)|0|N||77|x|191
09|java.lang.Math|abs(int)|0|N||216|x|346
10|java.lang.Math|abs(int)|0|N||216|x|346
11|java.lang.Math|abs(int)|0|N||218|x|348
12|java.lang.Math|abs(int)|0|N||77|x|191
13|java.lang.Math|abs(int)|0|N||216|x|346
14|java.lang.Math|abs(int)|0|N||216|x|346
15|java.lang.Math|abs(int)|0|N||218|x|348
16|java.lang.Math|abs(int)|0|N||216|x|346
17|java.lang.Math|abs(int)|0|N||216|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|55
02|java.lang.Math|max(int,int)|0|N|x|104|x|114
03|java.lang.Math|max(int,int)|0|N|x|104|x|114
04|java.lang.Math|max(int,int)|0|N|x|45|x|55
05|java.lang.Math|max(int,int)|0|N|x|104|x|114
06|java.lang.Math|max(int,int)|0|N|x|79|x|84
07|java.lang.Math|max(int,int)|0|N||94||104
08|java.lang.Math|max(int,int)|0|N|x|45|x|55
09|java.lang.Math|max(int,int)|0|N|x|104|x|114
10|java.lang.Math|max(int,int)|0|N|x|104|x|114
11|java.lang.Math|max(int,int)|0|N|x|139|x|144
12|java.lang.Math|max(int,int)|0|N|x|45|x|55
13|java.lang.Math|max(int,int)|0|N|x|104|x|114
14|java.lang.Math|max(int,int)|0|N|x|104|x|114
15|java.lang.Math|max(int,int)|0|N|x|139|x|144
16|java.lang.Math|max(int,int)|0|N|x|104|x|114
17|java.lang.Math|max(int,int)|0|N|x|104|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|93
02|java.lang.Math|min(int,int)|0|N|x|137|x|136
03|java.lang.Math|min(int,int)|0|N|x|137|x|136
04|java.lang.Math|min(int,int)|0|N|x|78|x|93
05|java.lang.Math|min(int,int)|0|N|x|137|x|136
06|java.lang.Math|min(int,int)|0|N|x|78|x|77
07|java.lang.Math|min(int,int)|0|N|x|117|x|127
08|java.lang.Math|min(int,int)|0|N|x|78|x|93
09|java.lang.Math|min(int,int)|0|N|x|137|x|136
10|java.lang.Math|min(int,int)|0|N|x|137|x|136
11|java.lang.Math|min(int,int)|0|N|x|117|x|127
12|java.lang.Math|min(int,int)|0|N|x|78|x|93
13|java.lang.Math|min(int,int)|0|N|x|137|x|136
14|java.lang.Math|min(int,int)|0|N|x|137|x|136
15|java.lang.Math|min(int,int)|0|N|x|117|x|127
16|java.lang.Math|min(int,int)|0|N|x|137|x|136
17|java.lang.Math|min(int,int)|0|N|x|137|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|280
02|java.util.ArrayList|ArrayList()|0|N|x|568|x|578
03|java.util.ArrayList|ArrayList()|0|N|x|568|x|578
04|java.util.ArrayList|ArrayList()|0|N|x|270|x|280
05|java.util.ArrayList|ArrayList()|0|N||477||487
