ExpNum|Class|Method|Contract number|Contract kind|Closed?-ArithmeticTreatmentDefOps|Nodes-ArithmeticTreatmentDefOps|Closed?-ArithmeticTreatmentModelSearch|Nodes-ArithmeticTreatmentModelSearch
01|java.lang.Math|abs(int)|0|N|x|191|x|191
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|346|x|346
06|java.lang.Math|abs(int)|0|N|x|191|x|191
07|java.lang.Math|abs(int)|0|N||395|x|450
08|java.lang.Math|abs(int)|0|N|x|191|x|191
09|java.lang.Math|abs(int)|0|N|x|346|x|346
10|java.lang.Math|abs(int)|0|N|x|346|x|346
11|java.lang.Math|abs(int)|0|N|x|348|x|348
12|java.lang.Math|abs(int)|0|N|x|191|x|191
13|java.lang.Math|abs(int)|0|N|x|346|x|346
14|java.lang.Math|abs(int)|0|N|x|346|x|346
15|java.lang.Math|abs(int)|0|N|x|348|x|348
16|java.lang.Math|abs(int)|0|N|x|346|x|346
17|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|55|x|55
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|114|x|114
06|java.lang.Math|max(int,int)|0|N|x|84|x|84
08|java.lang.Math|max(int,int)|0|N|x|55|x|55
09|java.lang.Math|max(int,int)|0|N|x|114|x|114
10|java.lang.Math|max(int,int)|0|N|x|114|x|114
11|java.lang.Math|max(int,int)|0|N|x|144|x|144
12|java.lang.Math|max(int,int)|0|N|x|55|x|55
13|java.lang.Math|max(int,int)|0|N|x|114|x|114
14|java.lang.Math|max(int,int)|0|N|x|114|x|114
15|java.lang.Math|max(int,int)|0|N|x|144|x|144
16|java.lang.Math|max(int,int)|0|N|x|114|x|114
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|93|x|77
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|93|x|77
05|java.lang.Math|min(int,int)|0|N|x|136|x|136
06|java.lang.Math|min(int,int)|0|N|x|77|x|77
07|java.lang.Math|min(int,int)|0|N|x|127|x|127
08|java.lang.Math|min(int,int)|0|N|x|93|x|77
09|java.lang.Math|min(int,int)|0|N|x|136|x|136
10|java.lang.Math|min(int,int)|0|N|x|136|x|136
11|java.lang.Math|min(int,int)|0|N|x|127|x|127
12|java.lang.Math|min(int,int)|0|N|x|93|x|77
13|java.lang.Math|min(int,int)|0|N|x|136|x|136
14|java.lang.Math|min(int,int)|0|N|x|136|x|136
15|java.lang.Math|min(int,int)|0|N|x|127|x|127
16|java.lang.Math|min(int,int)|0|N|x|136|x|136
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
04|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
05|java.util.ArrayList|ArrayList()|0|N||487||487
06|java.util.ArrayList|ArrayList()|0|N||233||233
07|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
08|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
09|java.util.ArrayList|ArrayList()|0|N||501||501
10|java.util.ArrayList|ArrayList()|0|N||487||487
