ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||218||218
07|java.lang.Math|abs(int)|0|N|x|191|x|191
08|java.lang.Math|abs(int)|0|N|x|346|x|346
09|java.lang.Math|abs(int)|0|N|x|348|x|348
10|java.lang.Math|abs(int)|0|N|x|191|x|191
11|java.lang.Math|abs(int)|0|N||216||216
12|java.lang.Math|abs(int)|0|N|x|346|x|346
13|java.lang.Math|abs(int)|0|N||77||77
14|java.lang.Math|abs(int)|0|N||216||216
15|java.lang.Math|abs(int)|0|N|x|346|x|346
16|java.lang.Math|abs(int)|0|N|x|348|x|348
17|java.lang.Math|abs(int)|0|N|x|346|x|346
18|java.lang.Math|abs(int)|0|N||216||216
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N|x|139|x|139
08|java.lang.Math|max(int,int)|0|N|x|114|x|114
09|java.lang.Math|max(int,int)|0|N|x|144|x|144
10|java.lang.Math|max(int,int)|0|N|x|55|x|55
11|java.lang.Math|max(int,int)|0|N|x|104|x|104
12|java.lang.Math|max(int,int)|0|N|x|114|x|114
13|java.lang.Math|max(int,int)|0|N|x|45|x|45
14|java.lang.Math|max(int,int)|0|N|x|104|x|104
15|java.lang.Math|max(int,int)|0|N|x|114|x|114
16|java.lang.Math|max(int,int)|0|N|x|144|x|144
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
18|java.lang.Math|max(int,int)|0|N|x|104|x|104
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|77|x|77
08|java.lang.Math|min(int,int)|0|N|x|136|x|136
09|java.lang.Math|min(int,int)|0|N|x|127|x|127
10|java.lang.Math|min(int,int)|0|N|x|93|x|93
11|java.lang.Math|min(int,int)|0|N|x|137|x|137
12|java.lang.Math|min(int,int)|0|N|x|136|x|136
13|java.lang.Math|min(int,int)|0|N|x|78|x|78
14|java.lang.Math|min(int,int)|0|N|x|137|x|137
15|java.lang.Math|min(int,int)|0|N|x|136|x|136
16|java.lang.Math|min(int,int)|0|N|x|127|x|127
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
18|java.lang.Math|min(int,int)|0|N|x|137|x|137
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
04|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
08|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
09|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
10|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
11|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
12|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
13|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
14|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
15|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
16|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
17|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
18|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
01|java.util.ArrayList|ArrayList(int)|0|E||706||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3702
02|java.util.ArrayList|ArrayList(int)|0|N||760||760
03|java.util.ArrayList|ArrayList(int)|0|E||776||776
03|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
06|java.util.ArrayList|ArrayList(int)|0|E||768||768
06|java.util.ArrayList|ArrayList(int)|0|N|x|1491|x|1423
10|java.util.ArrayList|ArrayList(int)|0|E||402||402
10|java.util.ArrayList|ArrayList(int)|0|N||391||391
11|java.util.ArrayList|ArrayList(int)|0|E||798||798
11|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
12|java.util.ArrayList|ArrayList(int)|0|E||776||776
12|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
13|java.util.ArrayList|ArrayList(int)|0|E||378||378
13|java.util.ArrayList|ArrayList(int)|0|N||372||372
14|java.util.ArrayList|ArrayList(int)|0|E||798||798
14|java.util.ArrayList|ArrayList(int)|0|N||727||727
16|java.util.ArrayList|ArrayList(int)|0|E||4712||4717
16|java.util.ArrayList|ArrayList(int)|0|N|x|1342|x|1446
17|java.util.ArrayList|ArrayList(int)|0|E||777||776
17|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
18|java.util.ArrayList|ArrayList(int)|0|E||798||798
18|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1292|x|1364
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|748
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|944
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1116
