ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||218||218
07|java.lang.Math|abs(int)|0|N|x|191|x|191
08|java.lang.Math|abs(int)|0|N|x|346|x|346
09|java.lang.Math|abs(int)|0|N|x|348|x|348
10|java.lang.Math|abs(int)|0|N|x|191|x|191
11|java.lang.Math|abs(int)|0|N||216||216
12|java.lang.Math|abs(int)|0|N|x|346|x|346
13|java.lang.Math|abs(int)|0|N||77||77
14|java.lang.Math|abs(int)|0|N||216||216
15|java.lang.Math|abs(int)|0|N|x|346|x|346
16|java.lang.Math|abs(int)|0|N|x|348|x|348
17|java.lang.Math|abs(int)|0|N|x|346|x|346
18|java.lang.Math|abs(int)|0|N||216||216
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N|x|139|x|139
08|java.lang.Math|max(int,int)|0|N|x|114|x|114
09|java.lang.Math|max(int,int)|0|N|x|144|x|144
10|java.lang.Math|max(int,int)|0|N|x|55|x|55
11|java.lang.Math|max(int,int)|0|N|x|104|x|104
12|java.lang.Math|max(int,int)|0|N|x|114|x|114
13|java.lang.Math|max(int,int)|0|N|x|45|x|45
14|java.lang.Math|max(int,int)|0|N|x|104|x|104
15|java.lang.Math|max(int,int)|0|N|x|114|x|114
16|java.lang.Math|max(int,int)|0|N|x|144|x|144
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
18|java.lang.Math|max(int,int)|0|N|x|104|x|104
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|77|x|77
08|java.lang.Math|min(int,int)|0|N|x|136|x|136
09|java.lang.Math|min(int,int)|0|N|x|127|x|127
10|java.lang.Math|min(int,int)|0|N|x|93|x|93
11|java.lang.Math|min(int,int)|0|N|x|137|x|137
12|java.lang.Math|min(int,int)|0|N|x|136|x|136
13|java.lang.Math|min(int,int)|0|N|x|78|x|78
14|java.lang.Math|min(int,int)|0|N|x|137|x|137
15|java.lang.Math|min(int,int)|0|N|x|136|x|136
16|java.lang.Math|min(int,int)|0|N|x|127|x|127
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
18|java.lang.Math|min(int,int)|0|N|x|137|x|137
01|java.util.ArrayList|ArrayList()|0|N|x|270||217
02|java.util.ArrayList|ArrayList()|0|N|x|578||501
03|java.util.ArrayList|ArrayList()|0|N|x|578||501
04|java.util.ArrayList|ArrayList()|0|N|x|280||233
05|java.util.ArrayList|ArrayList()|0|N|x|280||227
06|java.util.ArrayList|ArrayList()|0|N|x|570||498
07|java.util.ArrayList|ArrayList()|0|N|x|280||227
08|java.util.ArrayList|ArrayList()|0|N|x|578||487
09|java.util.ArrayList|ArrayList()|0|N|x|580||508
10|java.util.ArrayList|ArrayList()|0|N|x|280||227
11|java.util.ArrayList|ArrayList()|0|N|x|568||491
12|java.util.ArrayList|ArrayList()|0|N|x|578||501
13|java.util.ArrayList|ArrayList()|0|N|x|270||217
14|java.util.ArrayList|ArrayList()|0|N|x|568||491
15|java.util.ArrayList|ArrayList()|0|N|x|578||501
16|java.util.ArrayList|ArrayList()|0|N|x|580||508
17|java.util.ArrayList|ArrayList()|0|N|x|578||501
18|java.util.ArrayList|ArrayList()|0|N|x|568||491
01|java.util.ArrayList|ArrayList(int)|0|E||706||669
01|java.util.ArrayList|ArrayList(int)|0|N|x|873||236
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3645
02|java.util.ArrayList|ArrayList(int)|0|N||760||574
03|java.util.ArrayList|ArrayList(int)|0|E||776||720
03|java.util.ArrayList|ArrayList(int)|0|N|x|1324||1200
06|java.util.ArrayList|ArrayList(int)|0|E||768||718
06|java.util.ArrayList|ArrayList(int)|0|N|x|1491||977
10|java.util.ArrayList|ArrayList(int)|0|E||402||351
10|java.util.ArrayList|ArrayList(int)|0|N||391||251
11|java.util.ArrayList|ArrayList(int)|0|E||798||711
11|java.util.ArrayList|ArrayList(int)|0|N|x|1297||1238
12|java.util.ArrayList|ArrayList(int)|0|E||776||720
12|java.util.ArrayList|ArrayList(int)|0|N|x|1324||1200
13|java.util.ArrayList|ArrayList(int)|0|E||378||341
13|java.util.ArrayList|ArrayList(int)|0|N||372||232
14|java.util.ArrayList|ArrayList(int)|0|E||798||711
14|java.util.ArrayList|ArrayList(int)|0|N||727||541
16|java.util.ArrayList|ArrayList(int)|0|E||4712||4612
16|java.util.ArrayList|ArrayList(int)|0|N|x|1342||1049
17|java.util.ArrayList|ArrayList(int)|0|E||777||720
17|java.util.ArrayList|ArrayList(int)|0|N|x|1324||1254
18|java.util.ArrayList|ArrayList(int)|0|E||798||711
18|java.util.ArrayList|ArrayList(int)|0|N|x|1297||1238
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|22||718
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1292||1269
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34||948
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1004
02|java.util.ArrayList|add(java.lang.Object)|0|N||1264||1009
02|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1032
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24||977
