ExpNum|Class|Method|Contract number|Contract kind|Closed?-BigintOn|Nodes-BigintOn|Closed?-BigintOff|Nodes-BigintOff
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N|x|450|x|450
07|java.lang.Math|abs(int)|0|N||218||218
08|java.lang.Math|abs(int)|0|N||77||77
09|java.lang.Math|abs(int)|0|N||77||77
10|java.lang.Math|abs(int)|0|N|x|346|x|346
11|java.lang.Math|abs(int)|0|N|x|191|x|191
12|java.lang.Math|abs(int)|0|N|x|348|x|348
13|java.lang.Math|abs(int)|0|N|x|191|x|191
14|java.lang.Math|abs(int)|0|N||216||216
15|java.lang.Math|abs(int)|0|N|x|346|x|346
16|java.lang.Math|abs(int)|0|N|x|346|x|346
17|java.lang.Math|abs(int)|0|N||216||216
18|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
07|java.lang.Math|max(int,int)|0|N|x|139|x|139
08|java.lang.Math|max(int,int)|0|N|x|45|x|45
09|java.lang.Math|max(int,int)|0|N|x|79|x|79
10|java.lang.Math|max(int,int)|0|N|x|114|x|114
11|java.lang.Math|max(int,int)|0|N|x|55|x|55
12|java.lang.Math|max(int,int)|0|N|x|144|x|144
13|java.lang.Math|max(int,int)|0|N|x|55|x|55
14|java.lang.Math|max(int,int)|0|N|x|104|x|104
15|java.lang.Math|max(int,int)|0|N|x|114|x|114
16|java.lang.Math|max(int,int)|0|N|x|114|x|114
17|java.lang.Math|max(int,int)|0|N|x|104|x|104
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|127|x|127
07|java.lang.Math|min(int,int)|0|N|x|117|x|117
08|java.lang.Math|min(int,int)|0|N|x|78|x|78
09|java.lang.Math|min(int,int)|0|N|x|78|x|78
10|java.lang.Math|min(int,int)|0|N|x|136|x|136
11|java.lang.Math|min(int,int)|0|N|x|93|x|93
12|java.lang.Math|min(int,int)|0|N|x|127|x|127
13|java.lang.Math|min(int,int)|0|N|x|93|x|93
14|java.lang.Math|min(int,int)|0|N|x|137|x|137
15|java.lang.Math|min(int,int)|0|N|x|136|x|136
16|java.lang.Math|min(int,int)|0|N|x|136|x|136
17|java.lang.Math|min(int,int)|0|N|x|137|x|137
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||487||487
04|java.util.ArrayList|ArrayList()|0|N||233||233
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
07|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
08|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
09|java.util.ArrayList|ArrayList()|0|N||217||217
10|java.util.ArrayList|ArrayList()|0|N||501||501
11|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
12|java.util.ArrayList|ArrayList()|0|N||508||508
13|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
14|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
15|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
16|java.util.ArrayList|ArrayList()|0|N||501||501
17|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
18|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
01|java.util.ArrayList|ArrayList(int)|0|E||706||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||3702
02|java.util.ArrayList|ArrayList(int)|0|N||760||760
03|java.util.ArrayList|ArrayList(int)|0|E||713||713
03|java.util.ArrayList|ArrayList(int)|0|N||564||564
07|java.util.ArrayList|ArrayList(int)|0|E||768||768
07|java.util.ArrayList|ArrayList(int)|0|N|x|1423|x|1491
08|java.util.ArrayList|ArrayList(int)|0|E||378||378
08|java.util.ArrayList|ArrayList(int)|0|N||372||372
09|java.util.ArrayList|ArrayList(int)|0|E||342||342
09|java.util.ArrayList|ArrayList(int)|0|N||236||236
11|java.util.ArrayList|ArrayList(int)|0|E||405||405
11|java.util.ArrayList|ArrayList(int)|0|N|x|901|x|901
12|java.util.ArrayList|ArrayList(int)|0|E||4612||4612
12|java.util.ArrayList|ArrayList(int)|0|N||1049||1049
13|java.util.ArrayList|ArrayList(int)|0|E||405||405
13|java.util.ArrayList|ArrayList(int)|0|N|x|901|x|901
14|java.util.ArrayList|ArrayList(int)|0|E||798||798
14|java.util.ArrayList|ArrayList(int)|0|N||727||727
16|java.util.ArrayList|ArrayList(int)|0|E||720||720
16|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
17|java.util.ArrayList|ArrayList(int)|0|E||798||798
17|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|748
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1265
02|java.util.ArrayList|add(java.lang.Object)|0|N||1264||1264
02|java.util.ArrayList|add(java.lang.Object)|1|N||1319||1319
02|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|24
