ExpNum|Class|Method|Contract number|Contract kind|Closed?-MoreSeqRulesOn|Nodes-MoreSeqRulesOn|Closed?-MoreSeqRulesOff|Nodes-MoreSeqRulesOff
01|java.lang.Math|abs(int)|0|N||77||77
02|java.lang.Math|abs(int)|0|N|x|346|x|346
03|java.lang.Math|abs(int)|0|N|x|346|x|346
04|java.lang.Math|abs(int)|0|N|x|191|x|191
05|java.lang.Math|abs(int)|0|N|x|191|x|191
06|java.lang.Math|abs(int)|0|N||218||218
07|java.lang.Math|abs(int)|0|N|x|450|x|450
08|java.lang.Math|abs(int)|0|N|x|346|x|346
09|java.lang.Math|abs(int)|0|N|x|191|x|191
10|java.lang.Math|abs(int)|0|N||216||216
11|java.lang.Math|abs(int)|0|N|x|191|x|191
12|java.lang.Math|abs(int)|0|N||207||207
13|java.lang.Math|abs(int)|0|N|x|191|x|191
14|java.lang.Math|abs(int)|0|N||216||216
15|java.lang.Math|abs(int)|0|N|x|346|x|346
16|java.lang.Math|abs(int)|0|N|x|191|x|191
17|java.lang.Math|abs(int)|0|N|x|346|x|346
18|java.lang.Math|abs(int)|0|N|x|346|x|346
19|java.lang.Math|abs(int)|0|N|x|346|x|346
01|java.lang.Math|max(int,int)|0|N|x|45|x|45
02|java.lang.Math|max(int,int)|0|N|x|114|x|114
03|java.lang.Math|max(int,int)|0|N|x|114|x|114
04|java.lang.Math|max(int,int)|0|N|x|55|x|55
05|java.lang.Math|max(int,int)|0|N|x|55|x|55
06|java.lang.Math|max(int,int)|0|N|x|139|x|139
08|java.lang.Math|max(int,int)|0|N|x|114|x|114
10|java.lang.Math|max(int,int)|0|N|x|104|x|104
11|java.lang.Math|max(int,int)|0|N|x|55|x|55
12|java.lang.Math|max(int,int)|0|N||94||94
13|java.lang.Math|max(int,int)|0|N|x|84|x|84
14|java.lang.Math|max(int,int)|0|N|x|104|x|104
15|java.lang.Math|max(int,int)|0|N|x|114|x|114
16|java.lang.Math|max(int,int)|0|N|x|55|x|55
17|java.lang.Math|max(int,int)|0|N|x|114|x|114
18|java.lang.Math|max(int,int)|0|N|x|114|x|114
19|java.lang.Math|max(int,int)|0|N|x|114|x|114
01|java.lang.Math|min(int,int)|0|N|x|78|x|78
02|java.lang.Math|min(int,int)|0|N|x|136|x|136
03|java.lang.Math|min(int,int)|0|N|x|136|x|136
04|java.lang.Math|min(int,int)|0|N|x|77|x|77
05|java.lang.Math|min(int,int)|0|N|x|77|x|77
06|java.lang.Math|min(int,int)|0|N|x|117|x|117
07|java.lang.Math|min(int,int)|0|N|x|127|x|127
08|java.lang.Math|min(int,int)|0|N|x|136|x|136
09|java.lang.Math|min(int,int)|0|N|x|77|x|77
10|java.lang.Math|min(int,int)|0|N|x|137|x|137
11|java.lang.Math|min(int,int)|0|N|x|93|x|93
12|java.lang.Math|min(int,int)|0|N|x|117|x|117
13|java.lang.Math|min(int,int)|0|N|x|77|x|77
14|java.lang.Math|min(int,int)|0|N|x|137|x|137
15|java.lang.Math|min(int,int)|0|N|x|136|x|136
16|java.lang.Math|min(int,int)|0|N|x|77|x|77
17|java.lang.Math|min(int,int)|0|N|x|136|x|136
18|java.lang.Math|min(int,int)|0|N|x|136|x|136
19|java.lang.Math|min(int,int)|0|N|x|136|x|136
01|java.util.ArrayList|ArrayList()|0|N|x|270|x|270
02|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
03|java.util.ArrayList|ArrayList()|0|N||501||501
04|java.util.ArrayList|ArrayList()|0|N||233||233
05|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
06|java.util.ArrayList|ArrayList()|0|N|x|570|x|570
07|java.util.ArrayList|ArrayList()|0|N|x|580|x|580
08|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
09|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
10|java.util.ArrayList|ArrayList()|0|N||491||491
11|java.util.ArrayList|ArrayList()|0|N||233||233
12|java.util.ArrayList|ArrayList()|0|N||476||476
13|java.util.ArrayList|ArrayList()|0|N|x|280|x|280
14|java.util.ArrayList|ArrayList()|0|N|x|568|x|568
15|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
16|java.util.ArrayList|ArrayList()|0|N||233||233
17|java.util.ArrayList|ArrayList()|0|N||501||501
18|java.util.ArrayList|ArrayList()|0|N|x|578|x|578
19|java.util.ArrayList|ArrayList()|0|N||501||501
01|java.util.ArrayList|ArrayList(int)|0|E||3242||706
01|java.util.ArrayList|ArrayList(int)|0|N|x|873|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3702||986
02|java.util.ArrayList|ArrayList(int)|0|N||760||760
03|java.util.ArrayList|ArrayList(int)|0|E||720||720
03|java.util.ArrayList|ArrayList(int)|0|N||1200||1200
06|java.util.ArrayList|ArrayList(int)|0|E||761||761
06|java.util.ArrayList|ArrayList(int)|0|N|x|1491|x|1491
10|java.util.ArrayList|ArrayList(int)|0|E||3617||921
10|java.util.ArrayList|ArrayList(int)|0|N||1238||1243
11|java.util.ArrayList|ArrayList(int)|0|E||354||354
11|java.util.ArrayList|ArrayList(int)|0|N||840||840
12|java.util.ArrayList|ArrayList(int)|0|E||3598||911
12|java.util.ArrayList|ArrayList(int)|0|N||527||527
13|java.util.ArrayList|ArrayList(int)|0|E||3284||591
13|java.util.ArrayList|ArrayList(int)|0|N|x|1006|x|1006
14|java.util.ArrayList|ArrayList(int)|0|E||791||791
14|java.util.ArrayList|ArrayList(int)|0|N|x|1297|x|1297
15|java.util.ArrayList|ArrayList(int)|0|E||776||776
15|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1329
18|java.util.ArrayList|ArrayList(int)|0|E||776||776
18|java.util.ArrayList|ArrayList(int)|0|N|x|1324|x|1324
01|java.util.ArrayList|add(java.lang.Object)|0|E|x|406|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L|x|1364|x|1364
01|java.util.ArrayList|add(java.lang.Object)|2|N|x|748|x|748
02|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|34
02|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1265
02|java.util.ArrayList|add(java.lang.Object)|0|N||1264||1264
