ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
01|java.util.ArrayList|ArrayList()|0|N||217|x|270
02|java.util.ArrayList|ArrayList()|0|N||501|x|578
03|java.util.ArrayList|ArrayList()|0|N||501|x|578
04|java.util.ArrayList|ArrayList()|0|N||233|x|280
05|java.util.ArrayList|ArrayList()|0|N||227|x|280
06|java.util.ArrayList|ArrayList()|0|N||498|x|570
07|java.util.ArrayList|ArrayList()|0|N||227|x|280
08|java.util.ArrayList|ArrayList()|0|N||487|x|578
09|java.util.ArrayList|ArrayList()|0|N||508|x|580
10|java.util.ArrayList|ArrayList()|0|N||227|x|280
11|java.util.ArrayList|ArrayList()|0|N||491|x|568
12|java.util.ArrayList|ArrayList()|0|N||501|x|578
13|java.util.ArrayList|ArrayList()|0|N||217|x|270
14|java.util.ArrayList|ArrayList()|0|N||491|x|568
15|java.util.ArrayList|ArrayList()|0|N||501|x|578
16|java.util.ArrayList|ArrayList()|0|N||508|x|580
17|java.util.ArrayList|ArrayList()|0|N||501|x|578
18|java.util.ArrayList|ArrayList()|0|N||491|x|568
01|java.util.ArrayList|ArrayList(int)|0|E||669||706
01|java.util.ArrayList|ArrayList(int)|0|N||236|x|873
02|java.util.ArrayList|ArrayList(int)|0|E||3645||3702
02|java.util.ArrayList|ArrayList(int)|0|N||574||760
03|java.util.ArrayList|ArrayList(int)|0|E||720||776
03|java.util.ArrayList|ArrayList(int)|0|N||1200|x|1324
06|java.util.ArrayList|ArrayList(int)|0|E||718||768
06|java.util.ArrayList|ArrayList(int)|0|N||977|x|1423
10|java.util.ArrayList|ArrayList(int)|0|E||351||402
10|java.util.ArrayList|ArrayList(int)|0|N||251||391
11|java.util.ArrayList|ArrayList(int)|0|E||711||798
11|java.util.ArrayList|ArrayList(int)|0|N||1238|x|1297
12|java.util.ArrayList|ArrayList(int)|0|E||720||776
12|java.util.ArrayList|ArrayList(int)|0|N||1200|x|1324
13|java.util.ArrayList|ArrayList(int)|0|E||341||378
13|java.util.ArrayList|ArrayList(int)|0|N||232||372
14|java.util.ArrayList|ArrayList(int)|0|E||711||798
14|java.util.ArrayList|ArrayList(int)|0|N||541||727
16|java.util.ArrayList|ArrayList(int)|0|E||4612||4717
16|java.util.ArrayList|ArrayList(int)|0|N||1049|x|1446
17|java.util.ArrayList|ArrayList(int)|0|E||720||776
17|java.util.ArrayList|ArrayList(int)|0|N||1254|x|1324
18|java.util.ArrayList|ArrayList(int)|0|E||711||798
18|java.util.ArrayList|ArrayList(int)|0|N||1238|x|1297
01|java.util.ArrayList|add(java.lang.Object)|0|E||718|x|406
01|java.util.ArrayList|add(java.lang.Object)|0|L||1269|x|1364
01|java.util.ArrayList|add(java.lang.Object)|0|N||1392|x|21974
02|java.util.ArrayList|add(java.lang.Object)|0|E||948|x|944
02|java.util.ArrayList|add(java.lang.Object)|0|L||1004||1116
02|java.util.ArrayList|add(java.lang.Object)|0|N||1009||1128
02|java.util.ArrayList|add(java.lang.Object)|1|N||1032||1192
02|java.util.ArrayList|add(java.lang.Object)|2|N||977|x|996
03|java.util.ArrayList|add(java.lang.Object)|0|E||1573|x|1167
03|java.util.ArrayList|add(java.lang.Object)|0|L||5802|x|3159
06|java.util.ArrayList|add(java.lang.Object)|0|E||1261|x|889
06|java.util.ArrayList|add(java.lang.Object)|0|L||20841|x|1929
10|java.util.ArrayList|add(java.lang.Object)|0|E||948|x|944
10|java.util.ArrayList|add(java.lang.Object)|0|L||1004||1116
10|java.util.ArrayList|add(java.lang.Object)|0|N||1500||2796
10|java.util.ArrayList|add(java.lang.Object)|1|N||2788|x|4653
10|java.util.ArrayList|add(java.lang.Object)|2|N||2773|x|2810
12|java.util.ArrayList|add(java.lang.Object)|0|E||718|x|406
12|java.util.ArrayList|add(java.lang.Object)|0|L||1265|x|1777
12|java.util.ArrayList|add(java.lang.Object)|1|N||2383|x|1981
14|java.util.ArrayList|add(java.lang.Object)|0|E||1549|x|1144
14|java.util.ArrayList|add(java.lang.Object)|0|L||5888|x|3160
14|java.util.ArrayList|add(java.lang.Object)|1|N||12124|x|4835
14|java.util.ArrayList|add(java.lang.Object)|2|N||2958|x|1901
16|java.util.ArrayList|add(java.lang.Object)|0|E||948|x|944
16|java.util.ArrayList|add(java.lang.Object)|0|L||1004||1116
16|java.util.ArrayList|add(java.lang.Object)|0|N||1500||2791
16|java.util.ArrayList|add(java.lang.Object)|1|N||2804||1198
16|java.util.ArrayList|add(java.lang.Object)|2|N||2796|x|955
17|java.util.ArrayList|add(java.lang.Object)|0|E||1508|x|944
17|java.util.ArrayList|add(java.lang.Object)|0|L||4949|x|1860
18|java.util.ArrayList|add(java.lang.Object)|0|E||1549|x|1144
18|java.util.ArrayList|add(java.lang.Object)|0|L||5850|x|3162
19|java.util.ArrayList|add(java.lang.Object)|0|E||1573|x|1167
19|java.util.ArrayList|add(java.lang.Object)|0|L||5802|x|3159
01|java.util.ArrayList|clear()|0|L||170||466
01|java.util.ArrayList|clear()|0|N||204||502
02|java.util.ArrayList|clear()|0|L||2032|x|2267
02|java.util.ArrayList|clear()|0|N||2041||2305
03|java.util.ArrayList|clear()|0|L||2794|x|2516
03|java.util.ArrayList|clear()|0|N||2772|x|2548
06|java.util.ArrayList|clear()|0|L||1298||1223
06|java.util.ArrayList|clear()|0|N||2610||1525
10|java.util.ArrayList|clear()|0|L||270|x|1823
10|java.util.ArrayList|clear()|0|N||276||301
11|java.util.ArrayList|clear()|0|L||1073||1030
11|java.util.ArrayList|clear()|0|N||2340||1343
12|java.util.ArrayList|clear()|0|L||2517|x|2267
12|java.util.ArrayList|clear()|0|N||4229||2711
13|java.util.ArrayList|clear()|0|L||185||366
13|java.util.ArrayList|clear()|0|N||205||324
14|java.util.ArrayList|clear()|0|L||895||922
14|java.util.ArrayList|clear()|0|N||877||896
16|java.util.ArrayList|clear()|0|L||2557|x|2227
16|java.util.ArrayList|clear()|0|N||4446||2642
17|java.util.ArrayList|clear()|0|L||2517|x|2267
17|java.util.ArrayList|clear()|0|N||4229||2711
